Age,Gender,Faculty,Housing_Arrangement,Main_Income_Source,Monthly_Income,Organised_Money_Management,More_of_a_Saver_Than_a_Spender,Prefer_to_Buy_on_Credit,Savings_for_Rainy_Day,Prefer_to_Live_for_Today,Compare_Prices_Before_Buying,Read_Agreement_Carefully,Avoid_Overspending,Money_Management_Difficulty,Monthly_Savings,Increase_Financial_Knowledge,Complaint_for_Unsuitable_Product
21,Female,FSDK,Off-campus rent (sharing house/flat),Scholarship,RM 100 - RM 500,3,1,1,1,3,Yes,Yes,Always,Sometimes,Sometimes,Never,Always
21,Male,Other,Off-campus (own),Other,Above RM 600,1,1,1,1,1,Yes,Yes,Sometimes,Sometimes,Sometimes,Always,Always
21,Male,Other,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,4,4,3,3,4,Yes,Yes,Sometimes,Never,Never,Always,Always
21,Male,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,3,2,4,5,3,Yes,Yes,Sometimes,Sometimes,Never,Never,Sometimes
21,Male,FHPK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,5,5,5,5,5,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,Other,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,5,4,1,4,4,Yes,Yes,Always,Always,Always,Always,Always
21,Female,FSDK,Live with parents/relatives,Pocket money from parents,Above RM 600,1,3,2,1,5,Yes,Yes,Sometimes,Never,Sometimes,Sometimes,Sometimes
21,Female,FSDK,On-campus (student accommodation),Pocket money from parents,Below RM 99,3,4,4,3,2,Yes,Yes,Always,Sometimes,Never,Sometimes,Sometimes
21,Female,FKP,On-campus (student accommodation),Pocket money from parents,Below RM 99,1,2,5,1,1,No,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Never
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,3,4,5,1,2,Yes,Yes,Always,Always,Always,Sometimes,Never
21,Female,Other,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,1,2,5,2,5,Yes,Yes,Sometimes,Never,Sometimes,Sometimes,Never
21,Male,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,4,3,4,3,4,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Sometimes
21,Male,FSDK,Off-campus rent (sharing house/flat),Other,Below RM 99,5,5,5,5,5,Yes,Yes,Always,Never,Sometimes,Sometimes,Always
21,Female,FSDK,Live with parents/relatives,Scholarship,Below RM 99,4,3,2,5,5,Yes,Yes,Always,Sometimes,Always,Always,Sometimes
18,Female,FSB,On-campus (student accommodation),Pocket money from parents,Below RM 99,2,2,3,1,3,Yes,Yes,Always,Always,Always,Always,Always
18,Female,Other,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,3,3,4,2,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,5,5,5,4,3,Yes,Yes,Sometimes,Always,Sometimes,Always,Sometimes
18,Male,FSDK,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,3,3,3,3,3,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,FSDK,Off-campus rent (sharing house/flat),Scholarship,RM 100 - RM 500,4,3,3,4,3,Yes,Yes,Always,Sometimes,Always,Sometimes,Always
